iter	Passed	Remaining
811	9517	3363
812	9526	3351
813	9535	3338
814	9546	3326
815	9559	3315
816	9568	3302
817	9571	3288
818	9581	3275
819	9592	3263
820	9602	3251
821	9613	3239
822	9623	3227
823	9632	3214
824	9641	3202
825	9650	3189
826	9661	3177
827	9670	3165
828	9678	3152
829	9688	3139
830	9699	3128
831	9708	3115
832	9719	3103
833	9729	3091
834	9734	3077
835	9747	3066
836	9756	3053
837	9766	3041
838	9774	3029
839	9783	3016
840	9792	3003
841	9802	2992
842	9811	2979
843	9819	2966
844	9831	2955
845	9839	2942
846	9849	2930
847	9860	2918
848	9869	2906
849	9878	2893
850	9887	2881
851	9897	2869
852	9907	2857
853	9916	2844
854	9928	2833
855	9939	2821
856	9947	2808
857	9956	2796
858	9964	2784
859	9974	2772
860	9982	2759
861	9993	2747
862	10003	2735
863	10008	2722
864	10016	2709
865	10025	2697
866	10033	2684
867	10044	2673
868	10054	2661
869	10064	2649
870	10074	2637
871	10085	2625
872	10092	2612
873	10102	2600
874	10112	2588
875	10122	2576
876	10131	2564
877	10141	2552
878	10150	2540
879	10159	2528
880	10170	2516
881	10181	2504
882	10190	2492
883	10198	2480
884	10208	2468
885	10217	2456
886	10227	2444
887	10237	2432
888	10247	2420
889	10258	2409
890	10269	2397
891	10278	2385
892	10287	2373
893	10297	2361
894	10308	2349
895	10311	2336
896	10319	2323
897	10329	2312
898	10338	2300
899	10347	2287
900	10357	2276
901	10366	2264
902	10375	2252
903	10386	2240
904	10395	2228
905	10404	2216
906	10413	2204
907	10422	2192
908	10431	2180
909	10440	2168
910	10451	2156
911	10461	2144
912	10470	2133
913	10480	2121
914	10490	2109
915	10502	2098
916	10511	2086
917	10519	2074
918	10528	2062
919	10538	2050
920	10548	2038
921	10556	2026
922	10564	2014
923	10575	2002
924	10584	1991
925	10591	1978
926	10600	1966
927	10605	1954
928	10615	1942
929	10622	1930
930	10631	1918
931	10641	1906
932	10649	1894
933	10659	1883
934	10668	1871
935	10676	1859
936	10684	1847
937	10694	1835
938	10702	1823
939	10708	1811
940	10719	1799
941	10730	1788
942	10740	1776
943	10748	1764
944	10755	1752
945	10764	1740
946	10772	1729
947	10780	1717
948	10790	1705
949	10800	1693
950	10811	1682
951	10821	1670
952	10829	1659
953	10839	1647
954	10848	1635
955	10858	1624
956	10866	1612
957	10876	1600
958	10885	1589
959	10894	1577
960	10904	1565
961	10911	1553
962	10914	1541
963	10925	1530
964	10934	1518
965	10944	1506
966	10954	1495
967	10965	1483
968	10978	1472
969	10990	1461
970	10999	1449
971	11011	1438
972	11021	1427
973	11032	1415
974	11043	1404
